method,task,metric,value,cost_value
meta,shaping,procrustes_distance,0.5889474617230799,0.5889474617230799
meta,shaping,procrustes_distance,0.4596897683823091,0.4596897683823091
meta,shaping,procrustes_distance,0.001243721402592783,0.001243721402592783
meta,shaping,procrustes_distance,0.851797680436732,0.851797680436732
meta,shaping,procrustes_distance,0.48426339880867636,0.48426339880867636
meta,shaping,procrustes_distance,0.09880042862665839,0.09880042862665839
meta,shaping,procrustes_distance,0.7041851820533586,0.7041851820533586
meta,shaping,procrustes_distance,0.6240716648880913,0.6240716648880913
meta,shaping,procrustes_distance,0.6926964526875595,0.6926964526875595
meta,encircling,mean_distance_error,0.6565532516118717,0.6565532516118717
meta,encircling,mean_distance_error,1.224369836584155,1.224369836584155
meta,encircling,mean_distance_error,0.9158070921127429,0.9158070921127429
meta,encircling,mean_distance_error,0.03690517103840415,0.03690517103840415
meta,encircling,mean_distance_error,0.8678701680279198,0.8678701680279198
meta,encircling,mean_distance_error,0.5826983280184973,0.5826983280184973
meta,encircling,mean_distance_error,1.1707866182330346,1.1707866182330346
meta,encircling,mean_distance_error,2.4604845439323353,2.4604845439323353
meta,encircling,mean_distance_error,0.0323618433055437,0.0323618433055437
meta,encircling,mean_distance_error,1.5048622145244763,1.5048622145244763
meta,encircling,mean_distance_error,0.14881550458138015,0.14881550458138015
meta,encircling,mean_distance_error,2.338737621654163,2.338737621654163
meta,encircling,mean_distance_error,2.402897542444063,2.402897542444063
meta,encircling,mean_distance_error,1.5151198429407158,1.5151198429407158
meta,encircling,mean_distance_error,1.057002253372214,1.057002253372214
meta,encircling,mean_distance_error,0.7913023178213535,0.7913023178213535
meta,encircling,mean_distance_error,0.3439594491123774,0.3439594491123774
meta,encircling,mean_distance_error,1.512592523652825,1.512592523652825
meta,encircling,mean_distance_error,2.0120097809941417,2.0120097809941417
meta,encircling,mean_distance_error,3.146979758420614,3.146979758420614
meta,encircling,mean_distance_error,0.6976841038742686,0.6976841038742686
meta,encircling,mean_distance_error,0.123763939146617,0.123763939146617
meta,encircling,mean_distance_error,0.6926026008158798,0.6926026008158798
meta,encircling,mean_distance_error,0.6961201784189646,0.6961201784189646
meta,encircling,mean_distance_error,0.021927364954943036,0.021927364954943036
meta,encircling,mean_distance_error,0.735462395828232,0.735462395828232
meta,encircling,mean_distance_error,0.5031432829460416,0.5031432829460416
meta,encircling,mean_distance_error,1.2218492754740347,1.2218492754740347
meta,encircling,mean_distance_error,0.6895271507931149,0.6895271507931149
meta,encircling,mean_distance_error,0.3865380227210034,0.3865380227210034
meta,encircling,mean_distance_error,1.511852973682459,1.511852973682459
meta,encircling,mean_distance_error,0.8938243480933696,0.8938243480933696
meta,encircling,mean_distance_error,0.6910053049593717,0.6910053049593717
meta,encircling,mean_distance_error,0.588705461090622,0.588705461090622
meta,encircling,mean_distance_error,0.3895368357469607,0.3895368357469607
meta,encircling,mean_distance_error,0.507266503873332,0.507266503873332
meta,encircling,mean_distance_error,1.5451664309856186,1.5451664309856186
meta,encircling,mean_distance_error,0.18103998444466418,0.18103998444466418
meta,encircling,mean_distance_error,1.039500188742815,1.039500188742815
meta,encircling,mean_distance_error,0.4832767758923617,0.4832767758923617
meta,encircling,mean_distance_error,0.24440693518659296,0.24440693518659296
meta,encircling,mean_distance_error,0.05586694081508912,0.05586694081508912
meta,encircling,mean_distance_error,1.2018181228996985,1.2018181228996985
meta,encircling,mean_distance_error,0.06257914472029763,0.06257914472029763
meta,encircling,mean_distance_error,0.6570865777197211,0.6570865777197211
meta,encircling,mean_distance_error,1.23015322077905,1.23015322077905
meta,encircling,mean_distance_error,0.45059231783114395,0.45059231783114395
meta,encircling,mean_distance_error,0.7134653232946673,0.7134653232946673
meta,encircling,mean_distance_error,0.37863909119044004,0.37863909119044004
meta,encircling,mean_distance_error,0.576830673194713,0.576830673194713
meta,encircling,mean_distance_error,1.659145853957576,1.659145853957576
meta,encircling,mean_distance_error,2.3147557130111687,2.3147557130111687
meta,encircling,mean_distance_error,0.18677838246793757,0.18677838246793757
meta,encircling,mean_distance_error,0.4041081266701143,0.4041081266701143
meta,encircling,mean_distance_error,1.1744919365872377,1.1744919365872377
meta,encircling,mean_distance_error,1.5594904624179182,1.5594904624179182
meta,encircling,mean_distance_error,2.1666743026409243,2.1666743026409243
meta,encircling,mean_distance_error,1.3403230906374646,1.3403230906374646
meta,encircling,mean_distance_error,0.019415455406869824,0.019415455406869824
meta,encircling,mean_distance_error,0.16435367944325305,0.16435367944325305
meta,encircling,mean_distance_error,0.7300030208127805,0.7300030208127805
meta,encircling,mean_distance_error,0.4995856244146328,0.4995856244146328
meta,encircling,mean_distance_error,2.2147542440590158,2.2147542440590158
meta,encircling,mean_distance_error,0.708846970504565,0.708846970504565
meta,encircling,mean_distance_error,1.5596716619372435,1.5596716619372435
meta,encircling,mean_distance_error,0.0307498145714105,0.0307498145714105
meta,encircling,mean_distance_error,0.022227091332563675,0.022227091332563675
meta,encircling,mean_distance_error,0.5556691948463425,0.5556691948463425
meta,encircling,mean_distance_error,0.052361597225998,0.052361597225998
meta,encircling,mean_distance_error,0.03465251790952919,0.03465251790952919
meta,covering,area_ratio,0.26595750226060355,0.7340424977393964
meta,covering,variance_nearest_neighbor_distance,0.00971891385231199,0.00971891385231199
meta,covering,area_ratio,1.4125878681510426,-0.41258786815104265
meta,covering,variance_nearest_neighbor_distance,0.0012141111255886332,0.0012141111255886332
meta,covering,area_ratio,0.13151722127108054,0.8684827787289194
meta,covering,variance_nearest_neighbor_distance,0.009656830288862016,0.009656830288862016
meta,covering,area_ratio,0.2602463878710727,0.7397536121289273
meta,covering,variance_nearest_neighbor_distance,0.014466207074788557,0.014466207074788557
meta,covering,area_ratio,0.5625941106700041,0.4374058893299959
meta,covering,variance_nearest_neighbor_distance,0.013486678147086024,0.013486678147086024
meta,covering,area_ratio,0.13333926764778284,0.8666607323522172
meta,covering,variance_nearest_neighbor_distance,0.0017735678499851762,0.0017735678499851762
meta,covering,area_ratio,0.2730259695121046,0.7269740304878953
meta,covering,variance_nearest_neighbor_distance,0.004016037222951934,0.004016037222951934
meta,covering,area_ratio,0.2668707210766658,0.7331292789233341
meta,covering,variance_nearest_neighbor_distance,0.00296651228167129,0.00296651228167129
meta,covering,area_ratio,1.3910108019573644,-0.3910108019573644
meta,covering,variance_nearest_neighbor_distance,0.006994601837120406,0.006994601837120406
meta,covering,area_ratio,1.1488788832910237,-0.14887888329102372
meta,covering,variance_nearest_neighbor_distance,0.7812371159636464,0.7812371159636464
meta,covering,area_ratio,0.5215550325673786,0.47844496743262144
meta,covering,variance_nearest_neighbor_distance,0.08649182910751557,0.08649182910751557
meta,covering,area_ratio,0.8823187995861813,0.11768120041381869
meta,covering,variance_nearest_neighbor_distance,0.08580062101358085,0.08580062101358085
meta,covering,area_ratio,0.2324474838655721,0.7675525161344279
meta,covering,variance_nearest_neighbor_distance,0.00445371659636366,0.00445371659636366
meta,covering,area_ratio,0.2518152093211702,0.7481847906788298
meta,covering,variance_nearest_neighbor_distance,0.00921277131133679,0.00921277131133679
meta,covering,area_ratio,0.2836489014193912,0.7163510985806087
meta,covering,variance_nearest_neighbor_distance,0.0043355637736313115,0.0043355637736313115
meta,covering,area_ratio,0.2567700186357738,0.7432299813642262
meta,covering,variance_nearest_neighbor_distance,0.005044608488626638,0.005044608488626638
meta,covering,area_ratio,0.11917052352171208,0.8808294764782879
meta,covering,variance_nearest_neighbor_distance,0.04024656317533443,0.04024656317533443
meta,covering,area_ratio,0.26534007134171456,0.7346599286582854
meta,covering,variance_nearest_neighbor_distance,0.015117784184294207,0.015117784184294207
meta,covering,area_ratio,0.818596316031789,0.18140368396821105
meta,covering,variance_nearest_neighbor_distance,0.1430224203704462,0.1430224203704462
meta,covering,area_ratio,0.8289576560470593,0.1710423439529407
meta,covering,variance_nearest_neighbor_distance,0.27372091644723506,0.27372091644723506
meta,covering,area_ratio,1.1548149327551644,-0.15481493275516445
meta,covering,variance_nearest_neighbor_distance,0.004323659509408005,0.004323659509408005
meta,covering,area_ratio,0.3965181247152206,0.6034818752847795
meta,covering,variance_nearest_neighbor_distance,0.04351107848580892,0.04351107848580892
meta,covering,area_ratio,0.28653122897426697,0.713468771025733
meta,covering,variance_nearest_neighbor_distance,0.003913842533473611,0.003913842533473611
meta,covering,area_ratio,0.6312689129413243,0.36873108705867574
meta,covering,variance_nearest_neighbor_distance,0.09000366167969223,0.09000366167969223
meta,covering,area_ratio,0.2621964912649543,0.7378035087350456
meta,covering,variance_nearest_neighbor_distance,0.0031390225995189015,0.0031390225995189015
meta,covering,area_ratio,1.6169262010190097,-0.6169262010190097
meta,covering,variance_nearest_neighbor_distance,0.09050281091239927,0.09050281091239927
meta,covering,area_ratio,0.23235648467209577,0.7676435153279042
meta,covering,variance_nearest_neighbor_distance,0.005203093124208652,0.005203093124208652
meta,covering,area_ratio,0.607306529424667,0.392693470575333
meta,covering,variance_nearest_neighbor_distance,0.03287169334371982,0.03287169334371982
meta,covering,area_ratio,0.2604615616492023,0.7395384383507977
meta,covering,variance_nearest_neighbor_distance,0.002482640365626903,0.002482640365626903
meta,covering,area_ratio,0.27598290070625386,0.7240170992937461
meta,covering,variance_nearest_neighbor_distance,0.006243362176915802,0.006243362176915802
meta,covering,area_ratio,0.25341552079212,0.74658447920788
meta,covering,variance_nearest_neighbor_distance,0.010663504609320315,0.010663504609320315
meta,covering,area_ratio,0.245392049740316,0.754607950259684
meta,covering,variance_nearest_neighbor_distance,0.009889628907973768,0.009889628907973768
meta,covering,area_ratio,0.7736805966781536,0.2263194033218464
meta,covering,variance_nearest_neighbor_distance,0.1307455351216663,0.1307455351216663
meta,covering,area_ratio,0.10025536169586502,0.899744638304135
meta,covering,variance_nearest_neighbor_distance,0.00024002047953312466,0.00024002047953312466
meta,covering,area_ratio,0.25237122826936653,0.7476287717306335
meta,covering,variance_nearest_neighbor_distance,0.0028469220238695123,0.0028469220238695123
meta,covering,area_ratio,0.6651162645351111,0.3348837354648889
meta,covering,variance_nearest_neighbor_distance,0.13643899267384874,0.13643899267384874
meta,covering,area_ratio,0.31735586564748985,0.6826441343525101
meta,covering,variance_nearest_neighbor_distance,0.1371692728890374,0.1371692728890374
meta,covering,area_ratio,0.068736842484685,0.931263157515315
meta,covering,variance_nearest_neighbor_distance,0.012561909855690397,0.012561909855690397
meta,covering,area_ratio,0.0902112037103365,0.9097887962896635
meta,covering,variance_nearest_neighbor_distance,0.0019544504529540605,0.0019544504529540605
meta,covering,area_ratio,0.8342256931843722,0.16577430681562777
meta,covering,variance_nearest_neighbor_distance,0.012475032439950224,0.012475032439950224
meta,covering,area_ratio,0.13357446736493597,0.866425532635064
meta,covering,variance_nearest_neighbor_distance,0.00032011737005232773,0.00032011737005232773
meta,covering,area_ratio,0.155258569910732,0.8447414300892679
meta,covering,variance_nearest_neighbor_distance,0.003043741273832116,0.003043741273832116
meta,covering,area_ratio,1.655501736383318,-0.655501736383318
meta,covering,variance_nearest_neighbor_distance,0.4764090370311178,0.4764090370311178
meta,covering,area_ratio,0.12593103680727735,0.8740689631927226
meta,covering,variance_nearest_neighbor_distance,0.005018332782222094,0.005018332782222094
meta,covering,area_ratio,0.8871265313335741,0.11287346866642589
meta,covering,variance_nearest_neighbor_distance,0.0016809556875511562,0.0016809556875511562
meta,covering,area_ratio,0.27859110625176675,0.7214088937482332
meta,covering,variance_nearest_neighbor_distance,0.00564075912736922,0.00564075912736922
meta,covering,area_ratio,0.25491522011178386,0.7450847798882161
meta,covering,variance_nearest_neighbor_distance,0.0054787923210094696,0.0054787923210094696
meta,covering,area_ratio,0.2324639408718567,0.7675360591281433
meta,covering,variance_nearest_neighbor_distance,0.004956393559584224,0.004956393559584224
meta,covering,area_ratio,1.057656468506649,-0.05765646850664896
meta,covering,variance_nearest_neighbor_distance,0.043250769098926514,0.043250769098926514
meta,covering,area_ratio,0.2868576961693092,0.7131423038306908
meta,covering,variance_nearest_neighbor_distance,0.0033145754885880296,0.0033145754885880296
meta,covering,area_ratio,0.10496734670109632,0.8950326532989037
meta,covering,variance_nearest_neighbor_distance,0.0032720458045642103,0.0032720458045642103
meta,covering,area_ratio,0.5322914386481598,0.46770856135184025
meta,covering,variance_nearest_neighbor_distance,0.14778436405325115,0.14778436405325115
meta,covering,area_ratio,0.24965666566207487,0.7503433343379251
meta,covering,variance_nearest_neighbor_distance,0.01972801762738157,0.01972801762738157
meta,covering,area_ratio,0.8647324421868666,0.13526755781313338
meta,covering,variance_nearest_neighbor_distance,0.03275183811867641,0.03275183811867641
meta,covering,area_ratio,0.06250057214390958,0.9374994278560904
meta,covering,variance_nearest_neighbor_distance,0.003956957751380174,0.003956957751380174
meta,covering,area_ratio,0.25488302873896795,0.745116971261032
meta,covering,variance_nearest_neighbor_distance,0.003582192795320339,0.003582192795320339
meta,covering,area_ratio,1.278228013453866,-0.27822801345386594
meta,covering,variance_nearest_neighbor_distance,0.0033862789863483515,0.0033862789863483515
meta,covering,area_ratio,1.0103629433636212,-0.010362943363621202
meta,covering,variance_nearest_neighbor_distance,0.014158907831447201,0.014158907831447201
meta,covering,area_ratio,0.31755808131748103,0.682441918682519
meta,covering,variance_nearest_neighbor_distance,0.03767348655169137,0.03767348655169137
